id;organization_name;group_name;service_name;sum;created_at
1;Ergonomic e-tailers;Market;parsing;18629;2022-11-21
2;online;calculating Handmade Future;Auto paradigms 1080p;87095;2022-11-22
3;connecting Loan;orchid;sky;28446;2022-11-21
4;Marks;dedicated projection;Grocery;34764;2022-11-22
5;AGP;Horizontal programming;Baby;58846;2022-11-21
6;yellow quantifying Pre-emptive;payment;lavender Arizona;66163;2022-11-21
7;mission-critical Account protocol;Soft Platinum;fault-tolerant;47559;2022-11-21
8;Refined Quality;Handmade payment wireless;withdrawal;91488;2022-11-21
9;Gloves Salad;Kansas driver Soft;Michigan;29602;2022-11-21
10;Colorado Multi-channelled primary;application Frozen;Quality-focused Interactions Bedfordshire;55513;2022-11-21
